Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500408,TATAELXSI,A,6990.05,7047.45,6964.00,6998.90,9406,658.76,1623
543650,DCXINDIA,B,290.05,295.55,277.50,279.10,230628,657.92,6433
539837,RPEL,B,930.00,955.00,909.00,923.20,69890,650.63,882
500878,CEATLTD,A,1720.00,1787.70,1720.00,1754.20,36998,649.99,3761
517354,HAVELLS,A,1237.05,1246.95,1229.15,1238.20,52353,648.73,2657
540975,ASTERDM,A,200.05,225.30,200.05,219.50,294438,643.03,5308
540777,HDFCLIFE,A,540.00,540.15,530.25,533.05,119466,638.20,2415
540762,TIINDIA,A,2491.55,2626.15,2491.55,2543.95,24452,629.86,5214
500096,DABUR,A,553.55,555.00,542.00,550.85,114910,629.49,4163
503806,SRF,A,2390.00,2409.35,2345.70,2402.40,25708,607.21,2236
532832,IBREALEST,A,82.85,84.95,82.20,82.60,727321,605.29,3500
500008,AMARAJABAT,A,621.00,629.00,617.80,626.75,95510,596.40,3921
532689,PVR,A,1824.95,1846.80,1813.95,1823.65,32474,595.82,1382
540719,SBILIFE,A,1259.60,1262.80,1239.25,1259.60,47491,593.36,944
533150,GODREJPROP,A,1329.95,1329.95,1293.60,1311.10,44991,588.54,2547
532868,DLF,A,406.45,409.50,401.40,404.85,145303,587.83,1686
532149,BANKINDIA,A,75.05,75.20,73.50,74.20,787861,585.50,4290
532259,APARINDS,A,1481.15,1648.40,1481.15,1600.25,36765,585.44,4721
500251,TRENT,A,1425.05,1425.10,1405.90,1416.30,41285,583.28,2125
533096,ADANIPOWER,T,355.30,358.65,351.60,356.45,161774,574.69,2231
532514,IGL,B,416.85,438.50,416.50,433.75,133517,571.38,3946
524804,AUROPHARMA,A,492.00,494.50,480.00,491.70,116679,568.06,3342
540738,STL,B,430.75,469.00,396.15,406.65,128119,567.07,1173
532523,BIOCON,A,285.95,285.95,277.75,283.90,200690,566.71,4449
532155,GAIL,A,88.15,90.00,88.05,89.85,633545,563.14,2411
502420,ORIENTPPR,B,38.90,40.50,38.25,40.35,1395869,557.51,3084
543482,EUREKAFORBE,B,471.15,492.80,465.00,479.50,114437,551.40,2104
